id,name,type,distance,month,year,total_elevation_gain,has_heartrate,average_heartrate,average_speed,moving_time
6628382603,VRC Flight Crew,Run,10.967,02,2022,44.8,True,171.2,3.257,3367
6625661406,Lunch Run,Run,2.322,02,2022,34.4,True,171.4,2.713,856
6617253907,Ride with Max,Ride,44.903,02,2022,281.4,True,126.1,6.37,7049
6611776705,Roomie run,Run,6.291,01,2022,68.5,True,163.3,2.67,2356
6601911893,Garibaldi ,Hike,20.884,01,2022,998.2,True,120.2,1.086,19232
6596661234,Comeback baby! First 10k since July,Run,10.054,01,2022,211.4,True,169.0,2.687,3742
6587895738,Part ✌🏼 ,NordicSki,9.038,01,2022,182.9,True,172.7,3.554,2543
6587730829,Work hard play hard ,NordicSki,15.95,01,2022,328.2,True,140.8,3.829,4166
6581065440,Lunch Run,Run,4.879,01,2022,31.3,True,159.4,2.964,1646
6576959237,Knee update: not too shabby,Run,5.711,01,2022,65.2,True,164.3,3.228,1769
6574987764,A success story,Hike,7.19,01,2022,206.0,True,133.3,1.393,5160
6572147510,BEST HIKE EVER,Hike,5.135,01,2022,77.5,True,124.4,1.037,4952
6570799711,Wears sunglasses in the fog so she actually can't see,Ride,28.19,01,2022,228.4,True,117.0,6.148,4585
6564416797,Morning Ride,Ride,13.378,01,2022,107.0,True,116.3,6.064,2206
6560485229,BSP Safety Check for UBC Tri,Ride,12.762,01,2022,138.8,True,128.9,5.785,2206
6558955571,Hayley & I run,Run,8.475,01,2022,55.5,True,167.9,2.8,3027
6550578829,Pure freestyle,Swim,1.3,01,2022,0.0,False,0.0,0.794,1638
6545031408,Run without Sheetal 🥲,Run,4.328,01,2022,38.4,True,170.0,3.18,1361
6540442349,Run with Sheetal,Run,7.038,01,2022,75.3,True,164.0,2.897,2429
6536065417,Seymour,Hike,9.616,01,2022,635.3,True,125.3,0.992,9698
6529244816,Run with Christina,Run,6.291,01,2022,69.6,True,172.0,3.011,2089
6515046498,Back in chlorine,Swim,1.2,01,2022,0.0,False,0.0,0.86,1396
6509328716,Rain making the ice icy 🌧 ,Run,5.434,01,2022,41.2,True,171.0,2.611,2081
6507756960,Afternoon Run,Run,5.17,01,2022,86.9,True,161.6,2.731,1893
6499302681,Joffre lakes!,Hike,8.532,01,2022,372.6,True,116.2,0.922,9250
6493584965,Cool down,NordicSki,6.378,01,2022,128.6,True,157.9,2.81,2270
6493252039,They don’t make hills like these in Ontario,NordicSki,17.949,01,2022,387.3,True,145.0,3.149,5699
6488972420,Roomie run with special guest,Run,4.937,01,2022,36.5,True,154.4,2.412,2047
6481958792,22km for 2022 🎉 ,NordicSki,22.196,01,2022,176.3,True,87.6,3.233,6866
6477307465,Spirit Rock Walk,Hike,4.479,01,2022,44.9,True,124.3,1.08,4147
6477251824,Afternoon Run,Run,4.163,01,2022,22.3,True,171.2,3.23,1289
6471914017,Walk in Shallow Lake,Hike,4.574,01,2022,12.1,True,147.8,1.361,3361
6468509184,Data Collection Part 2,Run,1.695,01,2022,6.9,True,164.8,3.18,533
6468508817,Data Collection Part 1,Run,1.042,01,2022,6.5,True,170.5,3.216,324
6467266509,Hike + coffee w/ MUM! ,Hike,4.654,01,2022,25.5,True,142.3,1.202,3873
6463585940,Afternoon Run,Run,4.056,01,2022,18.5,True,165.7,3.154,1286
6457571849,Afternoon Run,Run,3.851,01,2022,18.5,True,167.2,2.983,1291
6457571065,Morning Activity,WeightTraining,0.0,12,2021,0.0,True,120.3,0.0,3734
6444406522,Afternoon Run,Run,1.864,12,2021,5.6,True,167.7,3.107,600
6439479973,Cuba Special 🌴,Run,3.402,12,2021,16.6,True,167.6,3.176,1071
6430696179,Afternoon Run,Run,2.834,12,2021,16.3,True,170.0,3.118,909
6426981895,Afternoon Run,Run,3.003,12,2021,14.6,True,167.3,3.168,948
6423426736,Another one with KK,NordicSki,9.592,12,2021,104.4,True,102.1,2.981,3218
6419914978,Ski with Kathryn,NordicSki,10.154,12,2021,122.5,True,133.5,2.82,3601
6419352250,Annual Christmas Jog,Run,2.87,12,2021,14.6,True,169.5,2.99,960
6408215115,Lunch Run,Run,2.217,12,2021,35.0,True,162.2,2.976,745
6405392523,Afternoon Run,Run,2.233,12,2021,36.8,True,159.8,3.034,736
6405392388,Afternoon Run,Run,2.272,12,2021,37.5,True,166.4,3.1,733
6392608656,Afternoon Run,Run,2.292,12,2021,37.3,True,169.9,3.131,732
6389461516,Correlation or causation? ,NordicSki,17.088,12,2021,277.5,True,122.4,3.207,5328
6385283787,Afternoon Run,Run,2.308,12,2021,37.4,True,165.7,2.647,872
6385283514,Evening Ride,Ride,0.0,12,2021,0.0,True,136.3,0.0,3602
6385283278,Afternoon Run,Run,2.196,12,2021,35.0,True,162.5,3.046,721
6360365287,Lunch Ride,Ride,27.468,12,2021,277.8,True,129.6,6.011,4570
6360354660,Evening Ride,Ride,0.0,12,2021,0.0,True,121.4,0.0,2993
6348631957,Squad walk,Hike,12.005,12,2021,169.5,True,127.6,1.378,8710
6344109726,Part 2 but faster,NordicSki,10.68,12,2021,252.4,True,121.1,3.266,3270
6343818540,Callaghan valley! ⛄️ ,NordicSki,10.989,12,2021,262.5,True,145.6,3.094,3552
6338400453,Wow the wind... lol,Ride,27.157,12,2021,263.8,True,128.7,6.397,4245
6330225221,Morning Swim,Swim,1.1,12,2021,0.0,False,0.0,0.703,1565
6311189881,Ride with Bridget ,Ride,42.994,11,2021,268.5,True,131.9,6.581,6533
6301398088,Afternoon Ride,Ride,27.408,11,2021,276.5,True,108.3,6.133,4469
6290626148,Old news?,Ride,38.9037,11,2021,404.8,False,0.0,5.816,6689
6299178407,Morning Ride,Ride,3.435,11,2021,18.5,True,158.9,7.34,468
6285489640,Skills lab UBC Cycling,Ride,23.099,11,2021,264.3,False,0.0,7.634,3026
6330134244,Morning Swim,Swim,1.1,11,2021,0.0,False,0.0,0.685,1605
6253956618,Mt. Brunswick!,Hike,16.492,11,2021,1436.4,True,128.1,1.019,16180
6244938734,Lunch Ride,Ride,27.958,11,2021,275.2,True,125.1,6.149,4547
6230955620,Afternoon Swim,Swim,1.3,11,2021,0.0,False,0.0,0.719,1809
6221886264,"No snowshoes, flat tire, leaking water",Hike,15.152,11,2021,590.8,False,0.0,1.14,13295
6221874651,Afternoon Run,Run,1.466,11,2021,21.1,True,65.0,3.086,475
6230955280,Morning Swim,Swim,1.2,11,2021,0.0,False,0.0,0.736,1630
6221875368,Evening Ride,Ride,0.0,11,2021,0.0,True,130.5,0.0,4039
6221874923,Afternoon Run,Run,1.476,10,2021,57.3,True,161.6,2.416,611
6190085589,Spoookyy hike! 👻 ,Hike,7.6051,10,2021,480.2,False,0.0,0.895,8500
6189037918,UBC Group Ride ,Ride,71.428,10,2021,852.5,True,117.6,6.814,10483
6189037581,Afternoon Ride,Ride,0.0,10,2021,0.0,True,106.2,0.0,3145
6175080562,Why did the turtle hop in the fast lane.. ,Swim,1.1,10,2021,0.0,False,0.0,0.793,1387
6169638892,Night Ride,Ride,0.0,10,2021,0.0,True,144.9,0.0,4159
6156466436,UBC Group ride 🚲 ,Ride,51.535,10,2021,348.7,True,111.2,7.173,7185
6143412895,WMS 3,Swim,1.225,10,2021,0.0,False,0.0,0.753,1627
6138521917,Hill(z?) + 🍩 !!,Ride,30.73,10,2021,306.5,True,100.0,6.255,4913
6133902882,Afternoon Ride,Ride,31.354,10,2021,251.9,True,137.8,6.864,4568
6131529053,FTP Test,Ride,0.0,10,2021,0.0,True,135.4,0.0,2431
6127159432,Evening Swim,Swim,1.275,10,2021,0.0,False,0.0,0.763,1670
6131528467,Knee hurts so bad 🥲,Run,2.766,10,2021,22.8,True,171.9,3.183,869
6114707895,Evening Run,Run,1.762,10,2021,20.6,True,100.5,2.874,613
6114707741,Afternoon Run,Run,1.743,10,2021,18.1,True,145.0,3.129,557
6104775983,Afternoon Run,Run,1.552,10,2021,28.8,True,165.9,3.055,508
6104775469,Morning Ride,Ride,32.381,10,2021,456.1,True,128.6,5.733,5648
